,ACC,MSE,RMSE,MAE,R2
22,0.02133221133028556,0.14169030616128356,0.35716328350060295,0.31635863093733796,-1.6936684970183618
23,0.013067748520368206,0.15180145143857174,0.37726853415009753,0.3348714573289421,-1.8541997663686582
24,0.016239663585826812,0.15117961507874342,0.37138887177583113,0.3291484945326614,-1.804534478373763
25,0.016619057247156635,0.1621527743505821,0.3843298742256941,0.34235321557216397,-1.9664926841228492
26,0.01458847503679384,0.16826842951553847,0.39105193419335954,0.34849729308616684,-2.0270118264228745
27,0.023299368198485982,0.14674881145868535,0.36561848267908553,0.32011697585348553,-1.6001298847218461
28,0.017311633469640035,0.1662272126863776,0.3879468867438715,0.34217103563549356,-1.889151814192282
29,0.004207499450680036,0.167098111197291,0.3933445744157509,0.345429276833878,-1.8613062619708365
30,0.022571028745297917,0.14735980192305476,0.3709076268289061,0.32023566310278107,-1.476424337104481
31,0.023982887475424267,0.172494705988396,0.3958607331235975,0.3457552772025447,-1.8288820348415427
32,0.0112809858998764,0.16208818357023871,0.3874564181359459,0.3364215621317534,-1.6102169003264746
33,0.017318986402234653,0.17602718715509036,0.4030780035024053,0.3504134742995583,-1.7721472825520188
34,0.00573968152280524,0.1837898421446721,0.4124685093998129,0.35887349008741704,-1.8312109274746813
35,0.01654167735481567,0.17626073979140472,0.4104940395160813,0.35126642001828284,-1.6494519505681207
36,0.014771988600927355,0.1789697345182631,0.4127455886605772,0.34982557906962386,-1.6329018599436071
37,0.018678049755629478,0.1957986239638769,0.43143185059735856,0.3667954005533996,-1.8161627000641345
38,0.018940239391385345,0.19094331334700235,0.42091710153272527,0.3606144202275758,-1.6962598248022105
39,0.016786119212573787,0.17847304489320792,0.4105215109173864,0.34797961764559454,-1.4528558087041952
40,0.019179161376622858,0.19515080030374993,0.42900625991254787,0.3628928844030673,-1.6233339763513297
41,0.010886984811740661,0.2141594423310981,0.44955515308767263,0.3821206794446722,-1.8147452121720786
42,0.013311568110239194,0.18720950244395204,0.4228794829747227,0.3526462094211694,-1.395670094020555
43,0.01610346724648085,0.19353616560893872,0.43288208175910253,0.35931656555648395,-1.416499937242707
44,0.018932984897174043,0.2069963666153906,0.44295189483171127,0.37105526177099457,-1.556710539701783
45,0.015270022626072462,0.21385090099713366,0.4553672184539853,0.3769754452773376,-1.572876245202225
46,0.017690404863082727,0.2137320195152348,0.45638246001183036,0.3776866794559235,-1.518194879424427
47,0.01465149254528711,0.21413995301754557,0.4555331691831571,0.3761747645521455,-1.4891453159527086
48,0.00991249948784398,0.21105720664588934,0.4519813983808664,0.3730499537880884,-1.414575220996244
49,0.014478257830722022,0.2294452088929552,0.47107038525813005,0.3916442183789587,-1.6003818454303786
50,0.011100398252716697,0.24252064979181184,0.48143489388751365,0.40353529170177793,-1.7345736398557912
51,0.01581014430994463,0.20820592237337565,0.452217293032721,0.36850411956039275,-1.290273454652078
52,0.01535989809859974,0.21641100783497352,0.4608309817034254,0.37777379094959224,-1.3666227138792753
53,0.01464829895360413,0.22890606781434122,0.4722432745013763,0.38977800201020163,-1.496687260636246
54,0.017027612521607147,0.22700550598562833,0.47232795981742093,0.3873362599266402,-1.4451773358526878
55,0.011814323678549935,0.2554526929330977,0.498764166743847,0.41468004304238404,-1.7565780837715714
56,0.010215135524719966,0.23978936633376186,0.4833021706546902,0.40049077520598936,-1.5711200946846988
57,0.016577988578149388,0.23312392019548955,0.4802962893651202,0.39072125552683384,-1.4632910849912957
58,0.014925096016165918,0.24683797918314343,0.4941486937807483,0.4049505861465672,-1.5960355805108857
59,0.01496502969961865,0.24242443394343902,0.4863897450630656,0.40261434129875573,-1.5619427407459425
